,Make,count
440,GRUMMAN ACFT ENG,2
441,COSTRUZIONI AERONAUTICHE,2
442,POBEREZNY,2
443,DAVIS,2
444,BEST OFF,2
445,LIBERTY AEROSPACE,2
446,BEDE AIRCRAFT,2
447,L-BIRD LLC,2
448,CZECH SPORTPLANES SRO,2
449,QUAD CITY ULTRALIGHT ACFT CORP,2
450,"THRUSH AIRCRAFT, INC.",2
451,TROM WAYNE,2
452,DAVISON,2
453,AIRCRAFT MFG & DVLPMT CO,2
454,RANS EMPLOYEE FLYING CLUB,2
455,BORING ROBERT BURTON,2
456,JUST AIRCRAFT,2
457,VICKERS,2
458,MOYES BAILEY,2
459,NAVAL AIRCRAFT FACTORY,2
460,AEROSTAR AIRCRAFT CORPORATION,2
461,WHITE,2
462,HOFFMAN,2
463,GRUMMAN AMERICAN AVIATION,2
464,BEDE,2
465,BEAGLE,2
466,DAY WILLIAM L,2
467,GROB-WERKE,2
468,M SQUARED,2
469,"CUBCRAFTERS, INC",2
470,ERCO,2
471,AEROS LTD,2
472,AUSTER,2
473,GOLDEN EAGLE,2
474,EAGLE AIRCRAFT CO.,2
475,TUBBS S/PERFORMANCE AIR INC,2
476,ARTIC AIRCRAFT CORP.,2
477,FOUND AIRCRAFT CANADA INC,2
478,CLIFF,2
479,GRUMMAN SCHWEIZER,2
480,EVEKTOR,2
481,CZECH SPORT AIRCRAFT,2
482,PEREYRA,2
483,FRANKLIN,2
484,PORTER JAMES GRANT,2
485,COSMOS,2
486,MANTELL ALLAN T,2
487,HARRIS PIERCE,2
488,LOCKWOOD,2
489,VAN'S AIRCRAFT,2
490,BUCKER JUNGMANN,2
491,BRANDT,2
492,BAE SYSTEMS,2
493,FISHER FLYING PRODUCTS,2
494,SPORT PLANE DYNAMICS LLC,2
495,PERTH AMBOY,2
496,AYRES THRUSH,2
497,EUROPA,2
498,NORTHROP,2
499,ELMWOOD,2
500,AEROTECHNIK,2
501,LONG,2
502,COMMANDER AIRCRAFT CO,2
503,CUBCRAFTER,2
504,SKYKITS,2
505,AIRPLANE FACTORY (PTY) LTD,2
506,AVEKO SRO,2
507,STITS FLUT-R-BUG,2
508,GIPPSLAND,2
509,PALMER,2
510,HIRSCH,2
511,GULFSTREAM AM CORP COMM DIV,2
512,ADKINS,2
513,SKYKITS USA CORP,2
514,MICCO AIRCRAFT COMPANY,2
515,AERMACCHI,2
516,JACKSON,2
517,ALVAREZ MARVIN R,2
518,PALEN,2
519,COMP AIR,2
520,BELL,2
521,CESSNA/AIR REPAIR INC,2
522,NEW PIPER,2
523,FOCKE-WULF,2
524,REIMS AVIATION,2
525,SIMMONS,2
526,GRENIER,2
527,DORNIER GMBH,2
528,MXR TECHNOLOGIES,2
529,VARGA AIRCRAFT CORP.,2
530,BLACK DONALD,2
531,UNIVAR,2
532,MYERS,2
533,STEPHENSON,2
534,LARSON,2
535,GOODYEAR,2
536,UNIVAIR AIRCRAFT CORPORATION,2
537,ROGERS,2
538,APPEL,2
539,MAGNAGHI AERONAUTICA SPA,2
540,ARADO-FLUGZEUGWERKE GMBH,2
541,DIXON,2
542,LET,2
543,PPHU EKOLOT,2
